OBEC;PSC
Vavrišovo;03242
Vaďovce;91613
Vaľkovňa;97669
Važec;03261
Vechec;09412
Veličná;02754
Velušovce;95501
Velčice;95171
Vernár;05917
Veselé;92208
Veterná Poruba;03104
Večelkov;98034
Veľaty;07615
Veľkrop;09101
Veľká Dolina;95115
Veľká Franková;05978
Veľká Hradná;91324
Veľká Ida;04455
Veľká Lehota;96641
Veľká Lesná;06534
Veľká Lodina;04481
Veľká Lomnica;05952
Veľká Lúka;96231
Veľká Mača;92532
Veľká Paka;93051
Veľká Tŕňa;07682
Veľká Ves;98501
Veľká Ves nad Ipľom;99110
Veľká nad Ipľom;98532
Veľká Čalomija;99109
Veľká Čausa;97101
Veľká Čierna;01501
Veľké Bierovce;91311
Veľké Blahovo;93001
Veľké Borové;02732
Veľké Chlievany;95655
Veľké Chyndice;95154
Veľké Dravce;98542
Veľké Držkovce;95654
Veľké Dvorany;95601
Veľké Dvorníky;92901
Veľké Hoste;95638
Veľké Kapušany;07901
Veľké Kosihy;94621
Veľké Kostoľany;92207
Veľké Kozmálovce;93521
Veľké Kršteňany;95803
Veľké Leváre;90873
Veľké Lovce;94142
Veľké Ludince;93565
Veľké Orvište;92201
Veľké Ozorovce;07801
Veľké Pole;96674
Veľké Pole;96681
Veľké Raškovce;07675
Veľké Revištia;07243
Veľké Ripňany;95607
Veľké Rovné;01354
Veľké Rovné;01362
Veľké Slemence;07677
Veľké Straciny;99001
Veľké Teriakovce;98051
Veľké Teriakovce;98052
Veľké Trakany;07642
Veľké Turovce;93581
Veľké Uherce;95841
Veľké Vozokany;95182
Veľké Zlievce;99123
Veľké Zálužie;95135
Veľké Úľany;92522
Veľký Biel;90024
Veľký Blh;98022
Veľký Cetín;95105
Veľký Folkmar;05551
Veľký Grob;92527
Veľký Grob;92528
Veľký Horeš;07652
Veľký Kamenec;07636
Veľký Klíž;95845
Veľký Krtíš;99001
Veľký Kýr;94107
Veľký Lapáš;95104
Veľký Lipník;06533
Veľký Lom;99103
Veľký Meder;93201
Veľký Slavkov;05981
Veľký Slavkov;05991
Veľký Slivník;08267
Veľký Čepčín;03845
Veľký Ďur;93534
Veľký Šariš;08221
Veľopolie;06731
Vidiná;98559
Vieska;93002
Vieska;99102
Vieska nad Blhom;98021
Vieska nad Žitavou;95152
Vikartovce;05919
Vinica;99128
Viničky;07631
Viničné;90023
Vinné;07231
Vinodol;95106
Vinohrady nad Váhom;92555
Vinosady;90201
Virt;94638
Vislanka;06541
Vislava;09021
Visolaje;01861
Vitanová;02712
Vištuk;84104
Vištuk;90085
Višňov;07661
Višňové;01323
Višňové;91616
Višňové;98262
Vlachovo;04924
Vlachy;03213
Vladiča;09023
Vlača;09431
Vlkanová;97631
Vlkas;94144
Vlkovce;05971
Vlková;05972
Vlky;90044
Vlkyňa;98044
Vlčany;92584
Vlčkovce;91923
Voderady;91942
Vojany;07672
Vojka;07683
Vojka nad Dunajom;93031
Vojkovce;05361
Vojnatina;07261
Vojtovce;09101
Vojčice;07622
Vojňany;05902
Volica;06701
Volkovce;95187
Voznica;96681
Vozokany;92505
Vozokany;95605
Voľa;07221
Vrakúň;93025
Vranov nad Topľou;09301
Vranov nad Topľou;09302
Vranov nad Topľou;09303
Vrbnica;07216
Vrbov;05972
Vrbovce;90606
Vrbovce;90703
Vrbovka;99106
Vrbová nad Váhom;94501
Vrbové;92203
Vrchteplá;01705
Vráble;95201
Vrádište;90849
Vrícko;03831
Vrútky;03861
Vršatské Podhradie;01852
Vtáčkovce;04447
Vydrany;93016
Vydrná;02053
Vydrník;05914
Vyhne;96602
Vysoká;08274
Vysoká;96901
Vysoká nad Kysucou;02355
Vysoká nad Uhom;07214
Vysoká pri Morave;90066
Vysoké Tatry;03242
Vysoké Tatry;05954
Vysoké Tatry;05955
Vysoké Tatry;05960
Vysoké Tatry;05981
Vysoké Tatry;05983
Vysoké Tatry;05984
Vysoké Tatry;05985
Vysoké Tatry;06201
Vysočany;95635
Vyškovce;09021
Vyškovce nad Ipľom;93577
Vyšná Boca;03234
Vyšná Hutka;04018
Vyšná Jablonka;06734
Vyšná Jedľová;08901
Vyšná Kamenica;04445
Vyšná Myšľa;04415
Vyšná Olšava;09032
Vyšná Pisaná;09001
Vyšná Polianka;08636
Vyšná Rybnica;07241
Vyšná Sitnica;09407
Vyšná Slaná;04926
Vyšná Voľa;08621
Vyšná Šebastová;08006
Vyšné Ladičkovce;06711
Vyšné Nemecké;07251
Vyšné Remety;07241
Vyšné Repaše;05371
Vyšné Ružbachy;06502
Vyšné Valice;98252
Vyšné nad Hronom;93531
Vyšný Hrabovec;09034
Vyšný Hrušov;06732
Vyšný Kazimír;09409
Vyšný Klátov;04412
Vyšný Komárnik;09005
Vyšný Kručov;08645
Vyšný Kubín;02601
Vyšný Medzev;04425
Vyšný Mirošov;09011
Vyšný Orlík;09011
Vyšný Skálnik;98052
Vyšný Slavkov;05373
Vyšný Tvarožec;08602
Vyšný Čaj;04416
Vyšný Žipov;09433
Váhovce;92562
Vápeník;09002
Vígľaš;96202
Vígľaš;96212
Vígľašská Huta-Kalinka;96225
Vítkovce;05363
Víťaz;08238
Víťazovce;06724
Výborná;05902
Východná;03232
Východná;03233
Výrava;06716
Výčapy-Opatovce;95144
Včelince;98050
Zacharovce;97901
Zalaba;93701
Zalužice;07234
Zamarovce;91105
Zatín;07653
Zavar;91701
Zavar;91926
Zbehy;95142
Zbehňov;07801
Zboj;06768
Zbojné;06713
Zborov;08633
Zborov nad Bystricou;02303
Zbrojníky;93555
Zbudská Belá;06701
Zbudské Dlhé;06712
Zbudza;07223
Zbyňov;01319
Zeleneč;91921
Zemianska Olča;94614
Zemianske Kostoľany;97243
Zemianske Podhradie;91307
Zemianske Sady;92554
Zemiansky Vrbovok;96241
Zemné;94122
Zemné;94123
Zemplín;07634
Zemplínska Nová Ves;07616
Zemplínska Teplica;04001
Zemplínska Teplica;07664
Zemplínska Široká;07213
Zemplínske Hradište;07601
Zemplínske Hámre;06777
Zemplínske Jastrabie;07605
Zemplínske Kopčany;07217
Zemplínsky Branč;07602
Zlatno;95191
Zlatno;98503
Zlatná na Ostrove;94612
Zlatník;09433
Zlatníky;95637
Zlatá Baňa;08252
Zlatá Idka;04461
Zlaté;08601
Zlaté Klasy;93039
Zlaté Moravce;94501
Zlaté Moravce;95301
Zlaté Moravce;95305
Zliechov;01832
Zohor;90051
Zombor;99122
Zuberec;02732
Zubné;06733
Zubrohlava;02943
Zubák;02064
Zvolen;96001
Zvolen;96221
Zvolenská Slatina;96201
Zvončín;91901
Zábiedovo;02801
Záborie;03803
Záborské;08253
Zádiel;04402
Zádor;98042
Záhor;07253
Záhorce;99106
Záhorie;90101
Záhorie;90501
Záhorská Ves;90065
Záhradné;08216
Zákamenné;02956
Zákopčie;02201
Zákopčie;02311
Zálesie;05904
Zálesie;90028
Zámutov;09415
Záriečie;02052
Záskalie;01705
Závada;09408
Závada;95501
Závada;99121
Závadka;05333
Závadka;06601
Závadka;07233
Závadka nad Hronom;97667
Závažná Poruba;03202
Závod;90872
Zázrivá;02705
Ábelová;98513
Úbrež;07242
Údol;06545
Úhorná;05566
Úľany nad Žitavou;94103
Čab;95124
Čabalovce;06716
Čabiny;06702
Čabradský Vrbovok;96251
Čachtice;91621
Čadca;02201
Čadca;02204
Čajkov;93524
Čaka;93568
Čakajovce;95143
Čakanovce;04445
Čakanovce;98558
Čakany;93040
Čaklov;09435
Čalovec;94602
Čamovce;98601
Čaradice;95301
Častkov;90604
Častkovce;91627
Častá;90089
Častá;91338
Čata;93563
Čataj;90083
Čavoj;97229
Čaňa;04414
Čebovce;99125
Čechy;94132
Čechynce;95107
Čekovce;96241
Čelkova Lehota;01816
Čelovce;08214
Čelovce;99141
Čeláre;99122
Čenkovce;93039
Čerenčany;97901
Čereňany;97246
Čerhov;07681
Čermany;95608
Černina;06723
Černochov;07632
Černík;94105
Čertižné;06752
Červenica;08207
Červenica pri Sabinove;08256
Červená Voda;08301
Červeník;92042
Červený Hrádok;95182
Červený Kameň;01856
Červený Kláštor;05906
Červeňany;99101
Čerín;97401
České Brezovo;98503
Čečehov;07211
Čečejovce;04471
Čeľadice;95103
Čeľadince;95616
Čeľovce;07617
Čierna;07643
Čierna Lehota;04936
Čierna Lehota;95653
Čierna Voda;92506
Čierna nad Tisou;07643
Čierne;02313
Čierne Kľačany;95305
Čierne Pole;07901
Čierne nad Topľou;09434
Čierny Balog;97652
Čierny Brod;92508
Čierny Potok;98031
Čifáre;95161
Čiližská Radvaň;93008
Čimhová;02712
Čirč;06542
Čičarovce;07671
Čičava;09301
Čičmany;01315
Čižatice;04447
Čoltovo;04912
Čremošné;03901
Čukalovce;06735
Čučma;04801
Čáry;90843
Číčov;94619
Číž;98043
Ďanová;03842
Ďapalovce;09405
Ďačov;08271
Ďubákovo;98507
Ďurkov;04419
Ďurkovce;99127
Ďurková;06541
Ďurčiná;01501
Ďurďové;01822
Ďurďoš;09431
Ďurďošík;04445
Ľubeľa;03214
Ľubica;05971
Ľubietová;97655
Ľubiša;06711
Ľubochňa;03491
Ľuboreč;98511
Ľuboriečka;99102
Ľubotice;08001
Ľubotice;08006
Ľubotín;06541
Ľubovec;08242
Ľubá;94353
Ľudovítová;95144
Ľutina;08257
Ľutov;95703
Ňagov;06801
Ňárad;93006
Šahy;93601
Šajdíkove Humence;90607
Šalgovce;95606
Šalgočka;92554
Šalov;93571
Šambron;06545
Šamorín;93101
Šamudovce;07201
Šandal;09101
Šarbov;09005
Šarišská Poruba;08212
Šarišská Trstená;08214
Šarišské Bohdanovce;08205
Šarišské Dravce;08273
Šarišské Jastrabie;06548
Šarišské Michaľany;08222
Šarišské Sokolovce;08266
Šarišské Čierne;08637
Šarišský Štiavnik;09042
Šarkan;94342
Šarovce;93552
Šaľa;92583
Šaľa;92701
Šaľa;92705
Šaľa;93401
Šašová;08612
Šaštín-Stráže;90841
Šelpice;91909
Šemetkovce;09003
Šemša;04421
Šenkvice;90081
Šiatorská Bukovinka;98558
Šiba;08622
Šimonovce;98003
Šindliar;08236
Šintava;92551
Širkovce;98002
Široké;08237
Širákov;99127
Šivetice;04914
Šišov;95638
Šmigovec;06773
Šoltýska;98507
Šoporňa;92552
Špania Dolina;97401
Španie Pole;98023
Špačince;91951
Šrobárová;94632
Štefanov;90645
Štefanov nad Oravou;02744
Štefanovce;08235
Štefanovce;09401
Štefanovičová;95115
Štefanová;90086
Štefurov;09042
Šterusy;92203
Štiavnické Bane;96901
Štiavnické Bane;96981
Štiavnik;01355
Štiavnička;03401
Štitáre;95101
Štrba;05938
Štrba;05941
Štrba;05985
Štrkovec;98045
Štvrtok;91305
Štvrtok na Ostrove;93040
Štítnik;04932
Štós;04426
Štôla;05937
Štúrovo;94301
Šuja;01501
Šumiac;97671
Šurany;94201
Šurianky;95126
Šurice;98033
Šuľa;99101
Šuňava;05939
Švedlár;05334
Švošov;03491
Švábovce;05911
Švábovce;05912
Šávoľ;98541
Šíd;98601
Šípkov;95653
Šípkové;92203
Šúrovce;91925
Šútovce;97201
Šútovo;03854
Ťapešovo;02951
Žabokreky;03840
Žabokreky nad Nitrou;95852
Žakarovce;05571
Žakovce;05973
Žalobín;09403
Žarnov;04402
Žarnovica;96681
Žaškov;02721
Žaškov;02751
Žbince;07216
Ždaňa;04411
Ždiar;05955
Žehra;05361
Žehňa;08206
Železná Breznica;96234
Železník;08701
Želiezovce;93701
Želmanovce;08644
Želovce;99105
Želovce;99106
Žemberovce;93502
Žemliare;93557
Žiar;03205
Žiar;98201
Žiar nad Hronom;96501
Žibritov;96301
Žihárec;92583
Žikava;95192
Žilina;01001
Žilina;01003
Žilina;01004
Žilina;01007
Žilina;01008
Žilina;01009
Žilina;01014
Žilina;01015
Žipov;08241
Žirany;95174
Žitavany;95197
Žitavany;95301
Žitavce;95201
Žitná-Radiša;95641
Žlkovce;92042
Župkov;96671
Župčany;08001
Žíp;98021
